account,tweets,following,followers,month,likes,lists,moments,dept
https://twitter.com/cmkshama,3519,2179,20768,Aug-16,252,1,0,LEG
https://twitter.com/cmlgonzalez,220,215,998,Aug-16,40,0,0,LEG
https://twitter.com/cmmikeobrien,843,1458,4795,Aug-16,126,0,0,LEG
https://twitter.com/cmrobjohnson,196,643,932,Aug-16,205,0,0,LEG
https://twitter.com/councilmantim,1096,214,4609,Aug-16,37,0,0,LEG
https://twitter.com/d5juarez,350,392,802,Aug-16,184,0,0,LEG
https://twitter.com/lisa_herbold,20,71,693,Aug-16,1,0,0,LEG
https://twitter.com/sallybagshaw,3660,303,5281,Aug-16,221,10,0,LEG
https://twitter.com/seattlecouncil,7732,482,32198,Aug-16,1135,1,0,LEG
https://twitter.com/mayoredmurray,4013,922,18982,Aug-16,1204,11,0,MOS
https://twitter.com/humanrights206,697,844,539,Aug-16,4,0,0,OCR
https://twitter.com/seattlelgbt,746,467,713,Aug-16,2,0,0,OCR
https://twitter.com/seawomenscomm,465,218,538,Aug-16,67,0,0,OCR
https://twitter.com/seattleeconomy ,460,678,671,Aug-16,75,0,0,OED
https://twitter.com/alertseattle,55,295,2299,Aug-16,17,1,0,OEM
https://twitter.com/seattlerdy,63,1127,309,Aug-16,2,1,0,OEM
https://twitter.com/seattleose,1571,705,1298,Aug-16,29,1,0,OSE
https://twitter.com/seattle2035,1143,243,856,Aug-16,66,0,0,PCD
https://twitter.com/seattleopcd,473,100,349,Aug-16,70,0,0,PCD
https://twitter.com/seattleparks,6115,1104,23996,Aug-16,887,0,0,PKS
https://twitter.com/seattleparkways,276,3975,808,Aug-16,1269,0,0,PKS
https://twitter.com/dennysubstation,605,347,269,Aug-16,225,1,0,SCL
https://twitter.com/seacitylight,10565,286,18147,Aug-16,3200,2,0,SCL
https://twitter.com/skagittours,554,554,321,Aug-16,344,6,0,SCL
https://twitter.com/seattlefire,3779,317,66854,Aug-16,129,1,0,SFD
https://twitter.com/seamunicourt,16,8,81,Aug-16,0,1,0,SMC
https://twitter.com/getyourbikeback,51,4,1111,Aug-16,0,0,0,SPD
https://twitter.com/getyourcarback,18824,6,2120,Aug-16,7,0,0,SPD
https://twitter.com/seattlepd,19097,1972,245049,Aug-16,3029,0,0,SPD
https://twitter.com/splbuzz,19410,1102,16197,Aug-16,10115,2,0,SPL
https://twitter.com/seattlegreenbiz,1620,506,348,Aug-16,1,0,0,SPU
https://twitter.com/seattlespu,2741,542,3408,Aug-16,450,9,0,SPU
https://twitter.com/spu_cz,243,28,145,Aug-16,372,1,0,SPU
https://twitter.com/spu_wx,136,8,15,Aug-16,16,0,0,SPU
https://twitter.com/seattlearts,5831,1342,82834,Sep-16,3520,2,0,ARTS
https://twitter.com/seattlecenter,21646,5014,28500,Sep-16,14601,6,0,CEN
https://twitter.com/seacpc,118,107,185,Sep-16,3,0,0,CPC
https://twitter.com/seattledci,3386,733,4584,Sep-16,511,17,0,DCI
https://twitter.com/seattledpd,8,40,29,Sep-16,0,0,0,DCI
https://twitter.com/seaeec,43,36,79,Sep-16,0,0,0,DOE
https://twitter.com/seattleprek,251,162,304,Sep-16,13,0,0,DOE
https://twitter.com/seaneighborhood,2346,1308,8048,Sep-16,507,4,0,DON
https://twitter.com/sdotbridges,52549,14,885,Sep-16,8,0,0,DOT
https://twitter.com/seattledot,58690,194,103777,Sep-16,1118,0,0,DOT
https://twitter.com/waterfrontsea,2576,383,4241,Sep-16,366,4,0,DOT
https://twitter.com/seattlefm,2645,909,9281,Sep-16,182,1,0,FAM
https://twitter.com/seattleanimal,1964,212,1558,Sep-16,110,0,0,FAS
https://twitter.com/seattlehsd,556,846,992,Sep-16,20,0,0,HSD
https://twitter.com/iandraffairs,2334,1114,992,Sep-16,216,0,0,IMR
https://twitter.com/cityofseattle/,3329,1522,110694,Sep-16,145,27,0,ITD
https://twitter.com/civictechsea ,1473,749,923,Sep-16,1186,1,0,ITD
https://twitter.com/diginclusion,917,292,721,Sep-16,119,2,0,ITD
https://twitter.com/seatechboard,282,2365,657,Sep-16,183,0,0,ITD
https://twitter.com/seattlechannel,7198,898,10951,Sep-16,1562,0,0,ITD
https://twitter.com/seattlecityjobs,953,615,999,Sep-16,380,0,0,ITD
https://twitter.com/seattlecto,644,280,1506,Sep-16,342,1,0,ITD
https://twitter.com/seattleopendata,37,83,185,Sep-16,0,0,0,ITD
https://twitter.com/bruceharrell,312,143,3745,Sep-16,0,0,0,LEG
